conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16
2.0000495542139743e+18,Sun Dec 14 03:45:47 +0000 2025,0.0,Di hadapan publik Presiden Prabowo Subianto menyampaikan komitmennya. Pemerintah secara aktif memonitor perkembangan dan memastikan seluruh bantuan untuk korban bencana Sumatera terdistribusi dengan baik. Transparansi dan akuntabilitas diutamakan. #IndonesiaTanggap https://t.co/T2O5I6LwSL,,2.0000495542139743e+18,https://pbs.twimg.com/media/G8GZxU1bgAA5ajp.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000049554213974160,9.684769218466243e+17,,
2.000049475994485e+18,Sun Dec 14 03:45:28 +0000 2025,0.0,Pemulihan dimulai dari rumah. Pemerintah melalui persetujuan Presiden mengalokasikan dana sebesar Rp60 juta secara khusus untuk perbaikan setiap rumah korban bencana. Langkah strategis untuk mengembalikan kehidupan yang normal. #PemulihanRumah #BencanaSumatera https://t.co/COCZiKswLW,,2.000049475994485e+18,https://pbs.twimg.com/media/G8GZvhLa8AAwJaw.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000049475994484994,1.358776880535462e+18,,
2.0000493684734894e+18,Sun Dec 14 03:45:03 +0000 2025,0.0,Penanganan bencana tidak berhenti saat evakuasi selesai. Atas instruksi Presiden Prabowo Subianto fokus kini beralih sepenuhnya pada Rehabilitasi dan Rekonstruksi sebagai Prioritas Nasional. Saatnya membangun kembali kehidupan. #BencanaSumatera #IndonesiaBangkit https://t.co/U70xQs3Kk0,,2.0000493684734894e+18,https://pbs.twimg.com/media/G8GZuYnbMAAssH9.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000049368473489435,1.2453105491323249e+18,,
2.000046120001827e+18,Sun Dec 14 03:32:08 +0000 2025,0.0,Kalo udah kayak gini kenapa gaada respon dari pemerintah anjir presiden masih diatas porli kan,,2.000046120001827e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000046120001827010,1.805261615241298e+18,,
1.9998061355458153e+18,Sun Dec 14 03:32:02 +0000 2025,0.0,@kompascom Pak presiden jadi malu malu2in,,2.0000460920719078e+18,,kompascom,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000046092071907812,78520355.0,,
1.9998948905542205e+18,Sun Dec 14 03:30:55 +0000 2025,0.0,@indepenSumatera Anake presiden,,2.0000458120056627e+18,,indepenSumatera,en,,0.0,0.0,0.0,https://x.com/undefined/status/2000045812005662720,47560424.0,,
1.9994189642883607e+18,Sun Dec 14 03:30:26 +0000 2025,0.0,@tempodotco Yg akan ditebang itu sawit kok pak karena sawit itu jelas bukan pohon...itu juga kalo pak presiden paham sesuaia keilmuan bukan karena faktor kepentingan bisnis yah ,,2.0000456924259986e+18,,tempodotco,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000045692425998551,1.604414413779669e+18,,
2.0000455812096374e+18,Sun Dec 14 03:30:00 +0000 2025,0.0,BGN memastikan pasokan gizi nasional melalui Program Makan Bergizi Gratis. Dengan dukungan penuh Presiden anggaran SDM dan infrastruktur disiapkan agar pemenuhan gizi masyarakat berjalan berkelanjutan. https://t.co/fhw7uQRf92,,2.0000455812096374e+18,https://pbs.twimg.com/media/G8FwYq0aQAAl_rT.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000045581209637249,1.5972452088395858e+18,,
2.0000229324503905e+18,Sun Dec 14 03:29:59 +0000 2025,0.0,@ARSIPAJA Kacung presiden Prabowo sewaktu presiden Prabowo lagi kebelet ONANI !!,,2.000045578655535e+18,,ARSIPAJA,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000045578655535116,1.7334640345682575e+18,,
1.9986762218408225e+18,Sun Dec 14 03:28:36 +0000 2025,0.0,@RT_com udah main presiden presidenannya?,,2.0000452299872668e+18,,RT_com,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000045229987266864,1.286841737260839e+18,,
